symbol,direction,open_time,close_time,entry,sl,tp,exit,qty,result,gross_pnl,fees_paid,pnl_usdt,pnl_r,liq_price
ETH/USDT,long,2025-04-13 06:10:00+00:00,2025-04-13 06:30:00+00:00,1608.22371,1605.968742,1618.9,1605.968742,0.015825,loss,-0.0357,0.0254,-0.0611,-1.713,
ETH/USDT,long,2025-04-13 13:05:00+00:00,2025-04-13 13:25:00+00:00,1601.825513,1597.970342,1660.0,1597.970342,0.015881,loss,-0.0612,0.0254,-0.0866,-1.415,
ETH/USDT,short,2025-04-13 13:35:00+00:00,2025-04-13 13:40:00+00:00,1597.245978,1600.480032,1535.3,1535.3,0.015915,win,0.9859,0.0249,0.961,18.67,
ETH/USDT,short,2025-04-13 14:15:00+00:00,2025-04-13 14:20:00+00:00,1563.887665,1576.785294,1520.0,1520.0,0.016378,win,0.7188,0.0253,0.6935,3.283,
ETH/USDT,short,2025-04-13 15:25:00+00:00,2025-04-13 17:50:00+00:00,1573.91265,1579.505838,1525.0,1579.505838,0.016361,loss,-0.0915,0.0258,-0.1173,-1.282,
ETH/USDT,short,2025-04-13 16:00:00+00:00,2025-04-13 16:25:00+00:00,1554.2225,1565.082954,1520.01,1565.082954,0.016567,loss,-0.1799,0.0258,-0.2058,-1.144,
ETH/USDT,long,2025-04-14 00:10:00+00:00,2025-04-14 00:15:00+00:00,1594.671938,1591.611614,1609.94,1591.611614,0.016108,loss,-0.0493,0.0257,-0.075,-1.521,
ETH/USDT,short,2025-04-14 16:35:00+00:00,2025-04-14 16:40:00+00:00,1627.32593,1629.67587,1615.01,1615.01,0.015775,win,0.1943,0.0256,0.1687,4.551,
ETH/USDT,long,2025-04-14 17:30:00+00:00,2025-04-14 17:50:00+00:00,1637.708445,1633.533228,1653.0,1653.0,0.015696,win,0.24,0.0258,0.2142,3.268,
ETH/USDT,short,2025-04-14 19:10:00+00:00,2025-04-14 19:50:00+00:00,1644.282448,1648.52964,1622.67,1622.67,0.015659,win,0.3384,0.0256,0.3129,4.704,
ETH/USDT,short,2025-04-14 20:00:00+00:00,2025-04-14 20:05:00+00:00,1632.94312,1636.867308,1590.0,1590.0,0.015806,win,0.6788,0.0255,0.6533,10.533,
ETH/USDT,long,2025-04-14 20:55:00+00:00,2025-04-14 22:15:00+00:00,1629.904545,1626.954544,1641.3,1626.954544,0.015916,loss,-0.047,0.0259,-0.0729,-1.552,
ETH/USDT,short,2025-04-14 22:30:00+00:00,2025-04-15 00:45:00+00:00,1623.92763,1631.52624,1583.0,1583.0,0.015966,win,0.6534,0.0256,0.6278,5.175,
ETH/USDT,long,2025-04-14 22:45:00+00:00,2025-04-14 23:45:00+00:00,1621.63041,1618.896156,1631.2,1618.896156,0.015987,loss,-0.0437,0.0259,-0.0696,-1.593,
ETH/USDT,short,2025-04-14 23:50:00+00:00,2025-04-15 00:30:00+00:00,1620.739225,1627.12536,1583.0,1627.12536,0.015987,loss,-0.1021,0.026,-0.1281,-1.254,
ETH/USDT,short,2025-04-15 00:20:00+00:00,2025-04-15 00:30:00+00:00,1619.7897,1625.955126,1581.0,1625.955126,0.015995,loss,-0.0986,0.026,-0.1246,-1.263,
